#OTU_ID Kingdom Phylum Class Order Family genus species 37m-SAI261 38m-SAI265 40m-SAI178 45-SAI134 60m-SAI237 60m-SAI239 65m-SAI244 65m-SAI251 65m-SAI229 70m-SAI101 75m-SAI211 80m-SAI116
OTU_83 k__Archaea   p__Crenarchaeota    c__Thaumarchaeota   o__Cenarchaeales    f__Cenarchaeaceae   g__Nitrosopumilus   s__ 11 0 4 17 26 1 51 47 1 19 33 8
OTU_5 k__Archaea    p__Crenarchaeota    c__Thaumarchaeota   o__Cenarchaeales    f__Cenarchaeaceae   g__Cenarchaeum  s__symbiosum 10 1 40 1160 0 0 285 0 7 0 0 12
OTU_2 k__Archaea    p__Crenarchaeota    c__Thaumarchaeota   o__Cenarchaeales    f__Cenarchaeaceae   g__Cenarchaeum  s__symbiosum 0 0 8 5 0 0 44 72 0 3458 0 3
OTU_202 k__Archaea  p__Crenarchaeota    c__Thaumarchaeota   o__Cenarchaeales    f__Cenarchaeaceae   g__     s__ 0 0 0 2 0 0 1 0 1 7 0 0
OTU_73 k__Archaea   p__Crenarchaeota    c__Thaumarchaeota   o__Cenarchaeales    f__Cenarchaeaceae   g__     s__ 0 0 0 0 0 0 41 14 0 0 0 3
OTU_365 k__Bacteria     p__Acidobacteria    c__Acidobacteria-6  o__BPC015   f__     g__     s__ 0 2 0 1 15 0 3 0 0 2 4 0
OTU_107 k__Bacteria     p__Acidobacteria    c__Acidobacteria-6  o__BPC015   f__     g__     s__ 5 0 1 0 0 0 5 19 0 0 0 2
OTU_1853 k__Bacteria    p__Acidobacteria    c__Acidobacteria-6  o__BPC015   f__     g__     s__ 0 0 0 0 1 0 2 0 0 1 0 2
OTU_182 k__Bacteria     p__Acidobacteria    c__Acidobacteria-6  o__iii1-15  f__     g__     s__ 0 0 1 0 0 0 10 12 0 1 0 3
OTU_186 k__Bacteria     p__Acidobacteria    c__Acidobacteria-6  o__iii1-15  f__     g__     s__ 0 0 0 0 0 0 4 2 0 0 0 12
OTU_160 k__Bacteria     p__Acidobacteria    c__PAUC37f  o__     f__     g__     s__ 0 0 0 0 0 0 9 24 0 0 0 1
OTU_385 k__Bacteria     p__Acidobacteria    c__Sva0725  o__Sva0725  f__     g__     s__ 0 5 0 6 8 0 11 0 0 1 7 3
OTU_136 k__Bacteria     p__Acidobacteria    c__Sva0725  o__Sva0725  f__     g__     s__ 0 0 0 0 0 0 9 44 0 2 0 0
OTU_509 k__Bacteria     p__Acidobacteria    c__Sva0725  o__Sva0725  f__     g__     s__ 0 3 0 1 0 0 4 0 0 0 0 0
OTU_929 k__Bacteria     p__Acidobacteria    c__Sva0725  o__Sva0725  f__     g__     s__ 0 1 0 2 0 0 1 0 0 0 0 0
OTU_132 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__     g__     s__ 5 0 0 45 0 0 17 0 0 0 0 0
OTU_77 k__Bacteria  p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__     g__     s__ 17 0 0 0 1 0 0 0 0 2 0 0
OTU_460 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__JdFBGBact    g__     s__ 2 5 0 0 6 0 3 2 0 0 1 0
OTU_605 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__JdFBGBact    g__     s__ 0 14 0 0 1 0 0 0 0 0 3 0
OTU_342 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__ntu14    g__     s__ 1 4 0 0 0 0 4 0 0 0 2 1
OTU_1120 k__Bacteria    p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__SC3-41   g__     s__ 0 4 0 0 0 0 1 0 0 0 1 0
OTU_225 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__wb1_P06  g__     s__ 4 0 3 0 0 0 2 7 0 0 0 1
OTU_421 k__Bacteria     p__Actinobacteria   c__Acidimicrobiia   o__Acidimicrobiales     f__wb1_P06  g__     s__ 0 11 0 0 0 0 2 10 0 0 0 0
OTU_192 k__Bacteria     p__AncK6    c__     o__     f__     g__     s__ 7 0 0 0 0 0 14 16 0 0 0 0
OTU_287 k__Bacteria     p__Bacteroidetes    c__[Rhodothermi]    o__[Rhodothermales]     f__[Balneolaceae]   g__Balneola     s__ 0 11 0 1 0 0 12 0 0 0 0 0
OTU_917 k__Bacteria     p__Bacteroidetes    c__[Rhodothermi]    o__[Rhodothermales]     f__[Balneolaceae]   g__Balneola     s__ 0 4 0 2 0 0 0 0 0 0 1 0
OTU_686 k__Bacteria     p__Bacteroidetes    c__[Rhodothermi]    o__[Rhodothermales]     f__Rhodothermaceae  g__     s__ 1 0 0 0 2 0 1 5 0 1 0 0
OTU_1497 k__Bacteria    p__Bacteroidetes    c__[Rhodothermi]    o__[Rhodothermales]     f__Rhodothermaceae  g__     s__ 0 1 0 1 2 0 5 0 0 0 0 0
OTU_339 k__Bacteria     p__Bacteroidetes    c__[Rhodothermi]    o__[Rhodothermales]     f__Rhodothermaceae  g__     s__ 0 6 0 2 0 0 1 0 0 0 7 0
OTU_441 k__Bacteria     p__Bacteroidetes    c__[Saprospirae]    o__[Saprospirales]  f__Saprospiraceae   g__     s__ 0 1 2 0 0 0 0 0 0 0 9 0
OTU_455 k__Bacteria     p__Bacteroidetes    c__[Saprospirae]    o__[Saprospirales]  f__Saprospiraceae   g__     s__ 11 8 0 0 0 0 0 0 0 0 1 0
OTU_352 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__[Amoebophilaceae]    g__     s__ 2 1 0 0 9 1 7 0 0 0 0 0
OTU_187 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__[Amoebophilaceae]    g__     s__ 3 0 0 0 25 0 1 0 0 0 19 0
OTU_126 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__[Amoebophilaceae]    g__SGUS912  s__ 0 177 1 0 0 8 0 0 0 0 0 0
OTU_471 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__[Amoebophilaceae]    g__Ucs1325  s__ 0 14 0 2 0 0 0 0 0 0 5 0
OTU_296 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 1 4 0 3 2 0 7 16 0 0 2 0
OTU_109 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 1 10 0 6 1 0 0 0 0 0 0 0
OTU_135 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__Roseivirga   s__ 0 5 0 0 0 0 2 98 0 0 2 0
OTU_154 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 2 0 1 0 0 3 0 0 0 61 0
OTU_3112 k__Bacteria    p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 6 1 0 0 0 4 0 0 1 0 0
OTU_831 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__Roseivirga   s__ 0 3 0 1 1 2 0 0 0 0 0 0
OTU_2940 k__Bacteria    p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 2 0 2 0 0 0 0 0 0 1 0
OTU_417 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 3 0 3 0 0 2 0 0 0 0 0
OTU_535 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 4 0 3 0 0 1 0 0 0 0 0
OTU_616 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae     g__     s__ 0 7 1 0 0 0 2 0 0 0 0 0
OTU_975 k__Bacteria     p__Bacteroidetes    c__Cytophagia   o__Cytophagales     f__Flammeovirgaceae g__ s__ 0 0 0 1 2 0 3 0 0 0 0 0
OTU_734 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__     g__     s__ 0 7 0 0 1 0 1 0 0 0 0 0
OTU_748 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__[Weeksellaceae]  g__Elizabethkingia  s__meningoseptica 9 0 0 0 1 0 0 2 0 0 0 0
OTU_256 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__     s__ 19 0 1 0 3 0 0 9 2 0 0 9
OTU_274 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__     s__ 0 2 0 1 0 0 2 0 0 0 9 0
OTU_190 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae g__ s__ 0 0 0 2 0 0 4 0 0 0 26 0
OTU_357 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__     s__ 0 13 0 1 0 0 0 0 0 0 15 0
OTU_514 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__     s__ 0 1 0 0 0 0 0 0 6 0 3 0
OTU_697 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__Muricauda    s__ 0 0 0 0 1 0 2 2 0 0 0 0
OTU_762 k__Bacteria     p__Bacteroidetes    c__Flavobacteriia   o__Flavobacteriales     f__Flavobacteriaceae    g__Muricola     s__jejuensis 0 2 0 1 6 0 0 0 0 0 0 0
OTU_222 k__Bacteria     p__Bacteroidetes c__ o__ f__ g__ s__ 34 1 1 0 4 0 2 0 18 0 0 23
OTU_465 k__Bacteria     p__Caldithrix   c__Caldithrixae     f__ o__Caldithrixales g__ s__ 0 0 0 0 2 0 2 0 0 0 1 0
OTU_838 k__Bacteria     p__Chlorobi c__ o__ f__ g__ s__ 2 0 0 1 0 0 0 0 0 0 0 1
OTU_1722 k__Bacteria    p__Chloroflexi  c__Anaerolineae     o__Caldilineales    f__Caldilineaceae   g__     s__ 0 1 0 0 0 0 1 0 0 0 2 0
OTU_101 k__Bacteria     p__Chloroflexi  c__SAR202   o__     f__     g__     s__ 0 0 0 0 0 0 37 13 0 1 0 3
OTU_84 k__Bacteria  p__Chloroflexi  c__SAR202   o__     f__     g__     s__ 0 0 1 0 0 0 38 42 0 0 0 2
OTU_180 k__Bacteria     p__Chloroflexi  c__SAR202   o__     f__     g__     s__ 0 0 0 0 0 0 8 2 0 4 0 0
OTU_392 k__Bacteria     p__Chloroflexi  c__SAR202   o__     f__     g__     s__ 0 0 0 0 0 0 4 6 3 0 0 0
